id,topic,difficulty,concept,question,mediaType,mediaUrl,mediaSource,optionA,optionB,optionC,optionD,correctAnswer,explanation
lt-b-001,Lighting Techniques,Beginner,Identification,What are the three lights in a standard three-point lighting setup?,image,https://shotkit.com/wp-content/uploads/bb-plugin/cache/three-point-lighting-featured-landscape-f34bce105b56f13470bd465fc7c2df74-zybravgx2q47.jpg,"""Shotkit""","Key light, fill light, and back light","Hard light, soft light, and natural light","Front light, side light, and top light","Main light, shadow light, and ambient light",A,"Three-point lighting consists of the key light (main/strongest source), fill light (softens shadows created by the key), and back light (separates subject from background). This is the fundamental lighting setup used in film, television, and photography since Hollywood's golden age."
lt-b-002,Lighting Techniques,Beginner,Function,What is the primary function of the key light?,image,"https://resource.auditoryworks.co/nearstream-website/strapi/3_light_example_c31e8536e5/3lightexample.png?x-oss-process=image/format,webp/resize,w_1024","""Near Stream""",To create colored lighting effects,To eliminate shadows caused by other lights,To provide the main source of light,To light only the background,C,"The key light is the primary and strongest light source that establishes the overall exposure and mood of the scene. Positioned typically at 30-45 degrees from the camera, it defines the lighting character. Roger Deakins uses strategic key light placement in films like 'Blade Runner 2049' to create distinctive atmospheres."
lt-b-003,Lighting Techniques,Beginner,Function,What does the fill light do in a lighting setup?,image,"https://resource.auditoryworks.co/nearstream-website/strapi/3_light_example_c31e8536e5/3lightexample.png?x-oss-process=image/format,webp/resize,w_1024","""Near Stream""",Replaces the key light,Softens shadows created by the key light,Creates the main shadows to add dramatic effect,Lights only the background,B,Fill light is positioned opposite the key light at lower intensity (typically 50% or less) to reduce shadow intensity without eliminating them. This maintains dimensionality while preventing harsh contrasts. The key-to-fill ratio determines the mood and drama of the scene.
lt-b-004,Lighting Techniques,Beginner,Location,Where is the back light typically positioned?,image,"https://resource.auditoryworks.co/nearstream-website/strapi/3_light_example_c31e8536e5/3lightexample.png?x-oss-process=image/format,webp/resize,w_1024","""Near Stream""",In front of the subject,Behind the subject,At ground level,Below the subject,B,"Back light (also called rim light or hair light) is positioned behind the subject, usually elevated and angled downward. It creates a rim of light that separates the subject from the background, adding depth and preventing the subject from appearing flat. Film noir extensively uses strong backlighting for dramatic effect."
lt-b-005,Lighting Techniques,Beginner,Identification,"What creates hard light with sharp, defined shadows?",image,https://i0.wp.com/erickimphotography.com/blog/wp-content/uploads/2018/06/fight-club-cinematography-life-lessons-18.jpg?w=1600&ssl=1,"""EricKimPhotography""",Large diffused light sources,Colored gels,Small concentrated light sources,Bounced light sources,C,"Hard light is produced by small, concentrated sources like direct sunlight, bare bulbs, or spotlights without modifiers. These create parallel light rays that cast sharp, well-defined shadows with crisp edges. Film noir cinematographers like John Alton used hard light to create dramatic, high-contrast imagery."
lt-b-006,Lighting Techniques,Beginner,Application,How is soft light typically created?,image,https://www.picturecorrect.com/wp-content/uploads/2015/10/softlight-definition.jpg,"""Adorama""",Using large diffused light sources,Using multiple mirrors,Using small spotlights,Using colored filters,A,"Soft light comes from large, diffused sources that spread light over wide areas, creating gentle, gradual shadows with soft edges. Cinematographers use softboxes, umbrellas, silk diffusion, or bounce light off large surfaces to achieve this flattering, even quality of illumination."
lt-b-007,Lighting Techniques,Beginner,Application,Which genre typically uses high-key lighting?,image,https://m.media-amazon.com/images/M/MV5BMDE1M2Q0OTMtN2E5ZC00MThjLThmN2YtMzRmODhlZDA4YmEyXkEyXkFqcGc@._V1_FMjpg_UX1400_.jpg,"""IMDb - Harry Potter""",Romantic comedies,Psychological thrillers,Horror films,Film noir,A,"High-key lighting creates bright, even illumination with minimal shadows and low contrast, producing cheerful, optimistic atmospheres. It's prevalent in romantic comedies ('When Harry Met Sally'), sitcoms ('Friends'), and musicals where an upbeat mood is desired."
lt-b-008,Lighting Techniques,Beginner,Application,What mood does low-key lighting create?,image,https://m.media-amazon.com/images/M/MV5BMDliYjczYTMtNTQ4ZS00ODYxLThkM2MtZDExMzRiMjdiOTYzXkEyXkFqcGc@._V1_FMjpg_UX728_.jpg,"""IMDb - Prisoners""",Happy and cheerful,Dark and mysterious,Neutral and calm,Bright and energetic,B,"Low-key lighting uses high contrast with predominant shadows and dark tones to create dramatic, mysterious, or suspenseful atmospheres. It's a staple of film noir ('Double Indemnity'), thrillers, and horror. Gordon Willis's work on 'The Godfather' exemplifies low-key lighting with rich shadows conveying power and secrecy."
lt-b-009,Lighting Techniques,Beginner,Identification,What are practical lights?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/52773/article_full%402x.jpg,"""Backstage - Nightmare Alley""",Light sources visible within the frame,Easy-to-use lights,Outdoor light sources,Budget-friendly lights,A,"Practical lights are sources visible in-frame such as lamps, candles, windows, neon signs, or TVs. They serve functional and aesthetic purposes, adding realism while contributing to the lighting design. However, they often need modification (different bulbs, dimmers, supplemental hidden lights) for proper cinematic exposure."
lt-b-010,Lighting Techniques,Beginner,Identification,What is the most common natural light source?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/52777/article_aligned%402x.jpg,"""Backstage - The Revenant""",Fluorescent tubes,The sun,Studio lights,LED panels,B,"The sun is the primary natural light source, offering diverse qualities throughout the day. Cinematographers plan around 'golden hour' (after sunrise/before sunset) for warm, soft, flattering light. Emmanuel Lubezki's work on 'Days of Heaven' and 'The Revenant' showcases masterful natural light cinematography."
lt-b-011,Lighting Techniques,Beginner,Application,What does side lighting emphasize?,image,https://asset.eyecannndy.com/media/clip/2025/02/10/261739171697.webp,"""Eyecandy - DENIAL IS A RIVER by Doechii""",Color saturation,Background details,Texture and contrast,Flat even tones,C,"Side lighting enters from the side of the subject, creating strong contrast between illuminated and shadowed areas. This emphasizes texture, contours, and three-dimensionality. Also called chiaroscuro when creating dramatic light-dark contrasts, it's prevalent in film noir cinematography."
lt-b-012,Lighting Techniques,Beginner,Identification,What is bounce lighting?,image,https://cdn.theasc.com/29-ASC_masterclass_film_day4_-548.jpg,"""The ASC""",Lights that vibrate to add dynamism,Reflecting light off a surface toward the subject,Alternating light patterns to create movement,Moving lights rapidly over the subject,B,"Bounce lighting reflects light from a strong source off surfaces (walls, ceilings, foam core boards) toward the subject, creating softer, more diffused illumination with larger coverage. This technique is ideal for creating natural-looking fill light without harsh shadows or hot spots."
lt-b-013,Lighting Techniques,Beginner,Application,What defines motivated lighting?,image,https://nofilmschool.com/media-library/motivated-lighting.jpg?id=34083508&width=1844&quality=50,"""No Film School""",Lighting that energizes the crew,Lighting that appears to come from logical sources in the scene,Random light placements on set,Lighting used only in action scenes,B,"Motivated lighting is designed to appear as if it originates from logical sources within the scene—windows, lamps, fire, screens. This maintains realism and helps the audience suspend disbelief, even when additional hidden lights are used off-camera for proper exposure and artistic control."
lt-b-014,Lighting Techniques,Beginner,Identification,What is ambient light?,image,https://nofilmschool.com/media-library/ambient-light.jpg?id=34062757&width=1250&quality=50,"""No Film School""",Emergency backup lighting,Existing light at a location,Colored accent lighting,Atmospheric mood lighting,B,"Ambient light refers to existing illumination at a location that the crew didn't bring—natural (sunlight through windows) or artificial (street lights, building lights). Cinematographers must assess and work with or modify ambient light when planning their lighting setups for each scene."
lt-b-015,Lighting Techniques,Beginner,Definition,What does lighting ratio refer to?,image,https://www.ifootagegear.com/cdn/shop/articles/F47D1335-1AF3-4CBF-A3C48D4AAF667811.jpg?v=1540214736,"""IFootage""",Relationship between side and back light intensity,Relationship between fill and back light intensity,Relationship between key and fill light intensity,Relationship between key and back light intensity,C,"Lighting ratio describes the relationship between key light and fill light intensity, expressed as ratios like 2:1, 4:1, or 8:1. A 2:1 ratio creates soft, flattering lighting; 8:1 creates dramatic contrast. The ratio directly controls mood—lower ratios feel cheerful, higher ratios create mystery and tension."
lt-i-001,Lighting Techniques,Intermediate,Identification,What is the signature element of Rembrandt lighting?,image,https://madhatterstatic.wordpress.com/wp-content/uploads/2013/11/rembrandt.jpg,"""Mad Hatter Static""",Bright colorful lighting on the subject,Completely even illumination of the subject,Extreme backlighting for the subject,A small triangle of light on the shadowed cheek,D,"Rembrandt lighting creates a small inverted triangle of light on the shadowed cheek, formed when the nose shadow connects with the cheek shadow. Named after the Dutch painter's signature portrait style, this technique adds drama and three-dimensionality, commonly used in classic Hollywood portraiture and dramatic film scenes."
lt-i-002,Lighting Techniques,Intermediate,Location,Where is the key light positioned in butterfly lighting?,image,https://slrlounge.com/wp-content/uploads/2019/10/light-patterns-1600x1066.jpg,"""SLR Lounge""",Directly above and in front of the subject,On the floor near the subject,Behind the subject,45 degrees to the side of the subject,A,"Butterfly lighting positions the key light directly above and in front of the subject, creating a butterfly-shaped shadow under the nose. This glamorous technique was popular in Old Hollywood for photographing stars like Marlene Dietrich and Greta Garbo, emphasizing cheekbones and creating an elegant, refined look."
lt-i-003,Lighting Techniques,Intermediate,Identification,What shadow pattern characterizes loop lighting?,image,https://petapixel.com/assets/uploads/2023/03/loop-lighting-header-image.jpg,"""PetaPixel""",A square pattern,A small curved shadow from the nose,A perfect circle on the cheek,No visible shadows,B,"Loop lighting creates a small, curved shadow from the nose that points toward the corner of the mouth but doesn't connect with the cheek shadow. The key light is positioned slightly higher and to the side at about 30-45 degrees. This versatile and flattering pattern works well for most face shapes."
lt-i-004,Lighting Techniques,Intermediate,Function,How does split lighting divide the face?,image,https://i0.wp.com/digital-photography-school.com/wp-content/uploads/2022/10/alexander-andrews-bS_3A546Xog-unsplash-scaled.jpg?resize=1025%2C1536&ssl=1,"""Digital Photography School""",Horizontally in half,Diagonally,Into quarters,Vertically in half,D,"Split lighting divides the face exactly in half vertically, with one side fully lit and the other in complete shadow. The light is positioned 90 degrees to the side of the subject. This dramatic technique creates mysterious, moody effects often used to suggest inner conflict or duality in character portraits."
lt-i-005,Lighting Techniques,Intermediate,Application,What does chiaroscuro lighting emphasize?,image,https://cdn.shopify.com/s/files/1/0561/2185/2101/files/Caravaggio-_Emmaus_2_480x480.jpg?v=1666242207,"""TFC""",Bright colorful scenes,Dramatic contrast between light and shadow,Even flat lighting of the subject,Lighting only one side of the subject,B,"Chiaroscuro (Italian for 'light-dark') dramatically emphasizes strong contrasts between light and shadow. Borrowed from Renaissance painting techniques, it creates depth, mystery, and psychological complexity. Film noir classics and Gordon Willis's work on 'The Godfather' showcase this technique brilliantly to convey mood and character."
lt-i-006,Lighting Techniques,Intermediate,Application,How is silhouette lighting achieved?,image,https://images.stockcake.com/public/0/b/a/0ba8b341-6f05-4464-bf9b-0d41b3365ac8_large/silhouette-stage-performance-stockcake.jpg,"""StockCake""",Strong backlight with little or no front light,Equal lighting from all directions,Strong front lighting only,Strong side lighting only,A,"Silhouette lighting uses strong backlighting with minimal or no front light, rendering the subject as a dark shape against a bright background. This creates dramatic, mysterious imagery, conceals identity, or emphasizes form and outline. It's effective for dramatic reveals and creating suspense."
lt-i-007,Lighting Techniques,Intermediate,Application,What's a common challenge with practical lights?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/52773/article_full%402x.jpg,"""Backstage - Nightmare Alley""",They don't appear on camera so are hard to utilize,They're too expensive to use,They can only be operated by specialised personel,They often need to be dimmed or enhanced for proper exposure,D,"Practical lights visible in-frame often need adjustment for cinematic exposure. Regular household bulbs may be too dim or bright for cameras. Gaffers replace bulbs with different wattages or color temperatures, add dimmers, or supplement with hidden off-camera lights to achieve the desired look while maintaining the illusion."
lt-i-008,Lighting Techniques,Intermediate,Application,What is the purpose of negative fill?,image,https://blogger.googleusercontent.com/img/a/AVvXsEhPMk9hk1p8ZSK1-l5O947IpJxO-8m5eyJ1-Tt2qE6QFMIFjJLk56SUakvY7Bm0eJ2TfRHodFvH0KoPRjJMJg572ttCninEClh22xnMY7venp9pq6NHMPD5ajtCXO0VyXYyvPjMV-7afJh_Og_kxoZTcM4LjdulTYatTCLIg3qL8K2ESVV3UXNHMQdP=s16000,"""iso1200""",To deepen shadows by absorbing light,To add more light to shadows,To create lens flares and bokeh,To rapidly change light colors,A,"Negative fill uses dark materials (black fabric, flags, duvetyne) to absorb reflected light and deepen shadows, increasing contrast. Unlike fill light which adds illumination, negative fill removes it by preventing light bounce. This technique sculpts faces dramatically and adds depth, used extensively in automotive and product photography."
lt-i-009,Lighting Techniques,Intermediate,Application,What effect does mixing color temperatures create?,image,https://cinematography.com/uploads/monthly_02_2017/post-71957-0-41363000-1486764354_thumb.png,"""cinematography""",Color contrast and visual depth,Black and white imagery,Pastel and other bright tones,Neutral earth tones,A,Mixing color temperatures (warm and cool) creates color contrast that adds visual depth and interest. Example: warm tungsten light (3200K) in the foreground with cool daylight (5600K) in the background. This separation technique is widely used in modern cinematography to distinguish between interior and exterior spaces or time periods.
lt-i-010,Lighting Techniques,Intermediate,Identification,What is another name for edge lighting?,image,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJKlmmnWY7UKI2Y8Vd2uKVkG43Yb0CmAaldTZU7HpOjj1mGQ_JD6WAtNhyphenhyphen3tFnMVH45CE-Kd2xHr3omGGJ2mVZ9h0yL4KGlj14atDBRMjCNpP_zZYHlMstiGmulz95aeAy1o_CG-qWp9U/s1600/images-2.jpeg,"""Film HNC""",Rim lighting,Fill lighting,Front lighting,Base lighting,A,"Edge lighting, also called rim lighting, creates a bright outline around the subject's edges by positioning light behind and to the side. This separates the subject from the background, adds dimension, and can create dramatic halo effects. It's particularly effective in low-key lighting setups."
lt-i-011,Lighting Techniques,Intermediate,Application,How does a kicker light differ from standard backlight?,image,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj8xBYW8dPken41eeKQw12eY2Kd1NcarS_9AnpThKwyYR35UJzgcr4qTbGA1bXZ8eJBIiK1V9yo5OYlsfAIb7eGHanrqt2jk0tpL5f9mMmyrzcoRglLGRPfavf4JUru4Lx3LhqKJfsbWUY/s1600/Spekular.jpg,"""iso1200""",It's always a different color,It's only used outdoors,It's always dimmer than fill light,It's positioned lower and more to the side,D,"A kicker light is a specialized backlight positioned lower and more to the side than standard backlighting, typically creating an accent highlight on the subject's cheek or shoulder. This adds extra dimensionality and separation, commonly used in interviews, commercials, and dramatic portraits to enhance three-dimensional modeling."
lt-i-012,Lighting Techniques,Intermediate,Function,What does book lighting do?,image,https://images.squarespace-cdn.com/content/v1/5d3cbbe5d8a40e00011cf843/1592100291013-Y9SFEUELEDDJ2ML9E1XJ/LEDBookLight+Plot.jpg?format=2500w,"""Logan Reynolds""",Softens harsh light through bouncing and diffusing,Lights reading materials in the scene,Sharpens soft light through concentrating and centering,Creates rectangular patterns in the scene,A,"Book lighting softens harsh light sources by first bouncing light off a reflective surface (like foam core 'pages' of a 'book') then diffusing it through fabric before reaching the subject. This double modification creates extremely soft, flattering, wraparound light with minimal shadows, popular in beauty, fashion, and commercial work."
lt-i-013,Lighting Techniques,Intermediate,Application,What do atmospheric effects like haze do to light?,image,https://spectrum.rosco.com/hs-fs/hubfs/Imported_Blog_Media/Bendo1.jpg?width=2400&height=970&name=Bendo1.jpg,"""Rosco Spectrum""",Increase light intensity,Make light beams visible,Eliminate light completely,Change light color permanently,B,"Atmospheric particles (theatrical haze, fog, smoke) make light beams visible by giving light something to reflect off. This creates volumetric lighting that adds atmosphere, depth, and texture to scenes. Famously seen in 'Blade Runner' and concert cinematography, it reveals the sculptural quality of light."
lt-i-014,Lighting Techniques,Intermediate,Application,Why is proper lighting technique especially important for darker skin tones?,image,https://cloudfront.slrlounge.com/wp-content/uploads/2017/09/HBO-Insecure-Yvonne.jpg,"""SLR Lounge - Insecure HBO""",They require special colored lighting,They need significantly less light,Film stocks and sensors were historically calibrated for lighter skin,They require specialised non-colored lighting,C,"Historically, film stocks and digital sensors were calibrated for lighter skin tones (sometimes called 'Shirley cards'), requiring cinematographers to be more intentional when lighting darker skin. Proper technique involves avoiding harsh shadows, using appropriate fill ratios, careful exposure, and ensuring detail and richness are captured in darker tones."
lt-i-015,Lighting Techniques,Intermediate,Application,What does lighting from below typically suggest?,image,https://nofilmschool.com/media-library/low-key-lighting.jpg?id=34052236&width=1480&quality=50,"""No Film School""",Documentary realism,Happiness and optimism,Something unnatural or menacing,Romantic atmosphere,C,"Lighting from below (under-lighting) creates an unnatural, eerie effect since we typically see people lit from above by the sun or ceiling lights. This technique is used in horror films and to portray villains because the reversed shadows appear unfamiliar and psychologically unsettling, subverting our natural expectations."
lt-a-001,Lighting Techniques,Advanced,Application,How does the Zone System apply to cinematography?,image,https://blog.reallyrightstuff.com/hubfs/Imported_Blog_Media/YosemiteLG-2_Zones.jpg,"""Really Right Stuff""",It specifies ideal lens focal lengths to be used,It determines optimal camera angles to be used,It divides the frame into different shooting zones,It maps the tonal range from pure black to pure white,D,"The Zone System, developed by Ansel Adams for photography, divides the tonal range into 11 zones from pure black (Zone 0) to pure white (Zone 10), with middle gray at Zone V. Cinematographers use this to ensure proper exposure across the entire scene, preserving detail in both highlights and shadows. This is especially crucial in high dynamic range (HDR) work."
lt-a-002,Lighting Techniques,Advanced,Identification,"According to the inverse square law, if you double the distance from a light source, the illumination becomes:",image,https://www.diyphotography.net/wp-content/uploads/2017/07/light_falloff-745x419.jpg,"""DIY Photography",Half as bright,One-eighth as bright,One-third as bright,One-quarter as bright,D,"The inverse square law states that light intensity is inversely proportional to the square of the distance from the source. Doubling the distance reduces intensity to 1/4 (2² = 4), tripling reduces to 1/9 (3² = 9). This fundamental principle is essential for gaffers calculating light placement, power requirements, and achieving precise lighting ratios on set."
lt-a-003,Lighting Techniques,Advanced,Function,What is cross-key lighting primarily used for?,image,https://neiloseman.com/wp-content/uploads/2014/08/2-shot.jpg,"""Neil Oseman""",Creating X-shaped light patterns,Lighting a single subject from opposite directions,Lighting multiple subjects facing opposite directions,Lighting only outdoor scenes,C,"Cross-key lighting uses two key lights from opposite sides to illuminate multiple subjects facing each other, common in dialogue scenes. Each person's key light becomes the other person's backlight, creating efficient, balanced illumination while maintaining proper dimensionality. This technique saves setup time and maintains consistent lighting ratios for both subjects."
lt-a-004,Lighting Techniques,Advanced,Identification,What creates specular highlights in cinematography?,image,https://www.lighting-essentials.com/wp-content/uploads/2017/02/gabriel_alvarez_assign_6a.jpg,"""Lighting Essentials","Rough, textured surfaces","Matte, non-reflective surfaces","Shiny, highly reflective surfaces",Painted flat surfaces,C,"Specular highlights are bright, mirror-like reflections from shiny surfaces that reflect light directly to the camera. They add dimension, indicate surface properties, and create visual interest. Cinematographers carefully control them on faces (like eye catchlights) to avoid distracting hot spots while maintaining natural-looking highlights that indicate life and vitality."
lt-a-005,Lighting Techniques,Advanced,Application,Why is a high Color Rendering Index (CRI) important?,image,https://www.westinghouselighting.com/images/pageassets/led/education/cri-kelvin-temperatures-02.jpg,"""Westinghouse""",It increases contrast ratios,It reduces shadow density,It makes lights physically brighter,It ensures accurate color reproduction,D,"CRI measures how accurately a light source reproduces colors compared to natural sunlight on a scale of 0-100. Professional cinematography requires CRI above 90 (preferably 95+) to ensure skin tones, wardrobe, and sets appear natural and consistent. Poor CRI (common in cheap LEDs) creates color casts and makes accurate color grading difficult or impossible in post-production."
lt-a-006,Lighting Techniques,Advanced,Identification,What technique creates true volumetric lighting effects?,image,https://asset.eyecannndy.com/media/clip/2024/05/21/261716271837.webp,"""Eyecandy - Dune: Part 2""",Using natural sunlight to light subjects,Using colored gels to create coloured lighting,Adding atmospheric particles to make light beams visible,Increasing light intensity of lights,C,"Volumetric lighting creates visible, three-dimensional light beams by adding atmospheric particles (theatrical haze, fog, smoke) that scatter light, making the beams themselves visible. This effect adds depth, texture, and drama to scenes. Famously seen in the light shafts of 'Blade Runner' and the church scene in 'The Godfather,' it reveals light as a sculptural, tangible element."
lt-a-007,Lighting Techniques,Advanced,Application,What's the primary lighting challenge with green screen work?,image,https://www.dock10.co.uk/assets/img/news/what-is-a-green-screen-studio-and-how-does-it-work-md.jpg,"""dock 10""",Adding realistic shadows to the subject on screen,Making it bright enough to see the subject,Achieving even illumination while preventing green spill on the subject,Using only a single light source to illuminate the subject,C,"Green screen requires perfectly even, shadowless illumination for clean keying while preventing green light from spilling onto the subject (which creates green contamination on skin and clothing). This typically requires completely separate lighting setups: one for the screen (even, flat) and one for the subject (dimensional, artistic). Uneven screen lighting or spill creates keying problems in post."
lt-a-008,Lighting Techniques,Advanced,Application,How does shooting for High Dynamic Range (HDR) affect lighting?,image,https://shotkit.com/wp-content/uploads/bb-plugin/cache/three-point-lighting-featured-landscape-f34bce105b56f13470bd465fc7c2df74-zybravgx2q47.jpg,"""Shotkit""",It requires using only practical lights,It demands greater attention to preserving detail in highlights and shadows,It requires less precision overall,It eliminates the need for fill lighting,B,"HDR captures and displays a wider range of brightness than standard dynamic range (SDR), showing more detail in both highlights and shadows. Cinematographers must light more carefully to avoid blown-out highlights or crushed blacks, as HDR displays will reveal these flaws that SDR might have hidden. This requires precise control of lighting ratios and careful monitoring on HDR-capable displays."
lt-a-009,Lighting Techniques,Advanced,Application,What is the main advantage of Fresnel lights?,image,https://www.epidemicsound.com/blog/content/images/size/w1600/2024/06/fresnel-lighting.webp,"""Epidemic Sound""",They are the easiest and fastest lights to set up,They can only produce soft light,They're significantly lighter in weight than other lights,They allow precise control over beam focus from flood to spot,D,"Fresnel lights use a stepped lens that allows the beam to be adjusted from wide flood to narrow spot by moving the bulb relative to the lens. This versatility makes them workhorses in film production, allowing one fixture to serve multiple purposes. Open-face lights are more efficient but lack this beam control capability, making them less versatile."
lt-a-010,Lighting Techniques,Advanced,Application,What's most critical for maintaining lighting continuity?,image,https://d26oc3sg82pgk3.cloudfront.net/files/media/edit/image/52777/article_aligned%402x.jpg,"""Backstage - The Revenant""",Using exclusively natural light sources,"Matching direction, quality, color temperature, and intensity",Shooting everything at the same time of day,Using exactly the same number of lights,B,"Lighting continuity requires matching direction (angle), quality (hard/soft), color temperature (Kelvin), and intensity (brightness) across shots that should appear in the same time and place. Script supervisors and cinematographers document setups with detailed notes, diagrams, light meter readings, and reference photos. Even small inconsistencies can break the illusion of continuous time and space."
lt-a-011,Lighting Techniques,Advanced,Identification,What is a gobo in cinematography?,image,https://cdn.mos.cms.futurecdn.net/d4b40bca9f95df7dbf00641da17f10c6-1200-80.jpg,"""Fix The Photo""",A template placed in front of a light to create patterned shadows,A specialized color correction gel,A type of camera stabilization system,A particular type of reflector,A,"Gobo (Goes Before Optics) is a template made of metal or heat-resistant material placed in or in front of a light source to create patterned shadows—venetian blinds, tree branches, window frames, or custom designs. This adds texture, suggests off-screen elements, creates visual interest, and helps motivate lighting. Film noir extensively uses gobo patterns for dramatic shadow compositions."
lt-a-012,Lighting Techniques,Advanced,Application,What does a spot meter measure?,image,https://sekonic.com/content/Blog/sekonic_rhodes_4x5_image03_1.jpg,"""Sekonic""",The total light intensity in an entire scene,The total number of lights being used,The color temperature of a light,Reflected light from a very specific small area,D,"A spot meter (or a light meter in spot mode) measures reflected light from a very specific, small area (typically a 1-degree angle), allowing precise exposure determination for key elements like faces. This is crucial for calculating exact lighting ratios, ensuring proper exposure on important subjects, and maintaining consistency across shots in complex lighting scenarios with varying brightness levels."
lt-a-013,Lighting Techniques,Advanced,Application,Why do different camera sensors respond differently to identical lighting?,image,https://cdn.media.amplience.net/i/canon/eos-c70-dgo-sensor_dgo-sensor_pdp_135d84021c6c485ca71451027bcda1b0?$media-collection-full-tb$,"""Canon""",Due to manufacturer brand preferences,"Different sensor sizes, sensitivities, dynamic range, and color science",Lens choice is the only factor,Director's personal preferences,B,"Different cameras have varying sensor technologies (CMOS vs CCD), physical sizes (full-frame vs Super 35), ISO sensitivities, dynamic range capabilities, and proprietary color science. RED cameras handle highlights differently than ARRI ALEXAs; Sony Venice has different color response than Panasonic VariCams. Cinematographers must understand their camera's specific characteristics to light appropriately and achieve consistent results."
lt-a-014,Lighting Techniques,Advanced,Application,When should lighting change during a scene?,image,https://m.media-amazon.com/images/M/MV5BNjA4ZjUwYTctNmNlNy00NjUxLWI1OGYtZDlkNDk0MmQ5NWRjXkEyXkFqcGc@._V1_FMjpg_UX1920_.jpg,"""IMDb - Sinners""",Every few seconds for visual variety,Randomly to maintain audience interest,Only when motivated by story elements or practical changes,Never during a single scene,C,"Lighting changes during scenes should be motivated by story elements: doors/windows opening or closing, lights being switched on or off, time passing (sun moving across the sky), fires growing or diminishing, or significant emotional shifts that justify visual changes. Unmotivated lighting changes break continuity and distract viewers, pulling them out of the story."
lt-a-015,Lighting Techniques,Advanced,Function,What is the purpose of using nets and scrims?,image,https://www.fjwestcott.com/cdn/shop/products/1691-6x6-scrim-jim-cine-kit_1_1500x.jpg?v=1659713264,"""Wescott""",To reduce light intensity in specific areas without changing quality,To physically catch falling equipment and prevent injuries on set,To create artificial lighting shadow effects on set ,To change the color temperature of light,A,"Nets and scrims are mesh materials placed in front of lights to reduce intensity without changing color temperature or light quality. Single nets reduce by approximately ½ stop, double nets by 1 stop. They allow fine control over exposure, helping cinematographers blend multiple light sources, create gradual fall-off across the frame, and achieve precise lighting ratios without changing lamp positions or power settings."
ct-b-001,Color Theory,Beginner,Definition,What is color temperature measured in?,image,https://cinematography.com/uploads/monthly_02_2017/post-71957-0-41363000-1486764354_thumb.png,"""cinematography""",Watts,Kelvin,Degrees Fahrenheit,Lumens,B,"Color temperature is measured in Kelvin (K), describing the warmth or coolness of light. Lower values (2700-3200K) are warm (orange/red), while higher values (5500-6500K) are cool (blue). Tungsten bulbs are typically 3200K, daylight is around 5600K. Understanding color temperature is essential for matching light sources and creating consistent looks."
